name,league,age,minutes,goals,assists
Max Aarons,eng Premier League,24.0,86,0,0
Max Aarons,es La Liga,24.0,120,0,0
Rodrigo Abajas,es La Liga,21.0,65,0,0
James Abankwah,it Serie A,20.0,88,0,0
Keyliane Abdallah,fr Ligue 1,18.0,3,0,0
Yunis Abdelhamid,fr Ligue 1,36.0,1033,0,0
Himad Abdelli,fr Ligue 1,24.0,2842,6,1
Mohamed Abdelmoneim,fr Ligue 1,25.0,855,0,0
Ali Abdi,fr Ligue 1,30.0,1393,5,2
Saud Abdulhamid,it Serie A,25.0,205,0,1
Abel,es La Liga,23.0,2074,2,0
Nabil Aberdin,es La Liga,21.0,263,0,0
Oliver Abildgaard,it Serie A,28.0,7,0,0
Matthis Abline,fr Ligue 1,21.0,2768,9,2
Abner,fr Ligue 1,24.0,1090,1,1
Zakaria Aboukhlal,fr Ligue 1,24.0,1901,7,2
Abdel Abqar,es La Liga,25.0,2463,0,1
Tammy Abraham,it Serie A,26.0,1,0,0
Tammy Abraham,it Serie A,26.0,1183,3,4
Federico Accornero,it Serie A,20.0,5,0,0
Francesco Acerbi,it Serie A,36.0,1710,0,1
Joshua Acheampong,eng Premier League,18.0,170,0,0
Akor Adams,es La Liga,24.0,134,0,0
Akor Adams,fr Ligue 1,24.0,1075,3,1
Che Adams,it Serie A,28.0,2652,9,3
Tyler Adams,eng Premier League,25.0,1965,0,3
Junior Adamu,de Bundesliga,23.0,1545,2,2
Tosin Adarabioyo,eng Premier League,26.0,1409,1,1
Martin Adeline,fr Ligue 1,20.0,26,0,0
Karim Adeyemi,de Bundesliga,22.0,1433,7,6
Simon Adingra,eng Premier League,22.0,1097,2,2
Amine Adli,de Bundesliga,24.0,766,2,0
Yacine Adli,it Serie A,24.0,1219,4,6
Adrián,es La Liga,37.0,1710,0,0
Adryelson,fr Ligue 1,26.0,1,0,0
Vasilije Adžić,it Serie A,18.0,42,0,0
Michel Aebischer,it Serie A,27.0,724,0,0
Oladapo Afolayan,de Bundesliga,26.0,1639,3,1
Emmanuel Agbadou,eng Premier League,27.0,1410,1,0
Emmanuel Agbadou,fr Ligue 1,27.0,1260,0,0
Asher Agbinone,eng Premier League,18.0,6,0,0
Jeremy Agbonifo,fr Ligue 1,18.0,300,1,0
Julen Agirrezabala,es La Liga,23.0,1206,0,0
Lucien Agoume,es La Liga,22.0,2114,1,3
Felix Agu,de Bundesliga,24.0,1751,3,0
Álvaro Aguado,es La Liga,28.0,443,0,1
Lorenzo Aguado,es La Liga,21.0,5,0,0
Nayef Aguerd,es La Liga,28.0,1760,0,0
Ruben Aguilar,fr Ligue 1,31.0,1124,1,2
Naouirou Ahamada,fr Ligue 1,22.0,58,0,0
Honest Ahanor,it Serie A,16.0,270,0,0
Erik Ahlstrand,de Bundesliga,22.0,43,0,0
Jean-Eudes Aholou,fr Ligue 1,30.0,1959,2,0
Joseph Aidoo,es La Liga,28.0,583,0,0
Joseph Aidoo,es La Liga,28.0,2,0,0
Ayman Aiki,fr Ligue 1,19.0,127,0,0
Ola Aina,eng Premier League,27.0,2995,2,1
Rayan Aït-Nouri,eng Premier League,23.0,3109,4,7
Junior Ajayi,it Serie A,19.0,13,0,0
Kristoffer Ajer,eng Premier League,26.0,1438,0,0
Ludovic Ajorque,fr Ligue 1,30.0,2495,13,2
Manuel Akanji,eng Premier League,29.0,2014,0,0
Ümit Akdag,fr Ligue 1,20.0,500,0,0
Nathan Aké,eng Premier League,29.0,678,0,0
Ilias Akhomach,es La Liga,20.0,584,1,0
Sergio Akieme,fr Ligue 1,26.0,2523,2,3
Maghnes Akliouche,fr Ligue 1,22.0,2406,5,10
Paul Akouokou,fr Ligue 1,26.0,19,0,0
Clément Akpa,fr Ligue 1,22.0,2486,0,1
Jean-Daniel Akpa-Akpro,it Serie A,31.0,966,0,0
David Akpan Ankeye,it Serie A,22.0,45,0,0
Kevin Akpoguma,de Bundesliga,29.0,2220,0,0
Chuba Akpom,fr Ligue 1,28.0,639,3,1
David Alaba,es La Liga,32.0,317,0,0
Ibrahim Alani,es La Liga,18.0,160,0,0
Andreas Albers,de Bundesliga,34.0,62,1,0
Raúl Albiol,es La Liga,38.0,1188,0,0
Carlos Alcaraz,eng Premier League,21.0,10,0,0
Carlos Alcaraz,eng Premier League,21.0,764,2,3
Omar Alderete,es La Liga,27.0,2971,1,0
Carles Aleñá,es La Liga,26.0,452,0,0
Carles Aleñá,es La Liga,26.0,1090,0,2
Ben Alexander Voll,de Bundesliga,23.0,91,0,0
Trent Alexander-Arnold,eng Premier League,25.0,2365,3,6
Alfon,es La Liga,25.0,1371,5,2
Mohamed Ali Cho,fr Ligue 1,20.0,1621,3,4
Faride Alidou,it Serie A,23.0,71,0,0
Alisson,eng Premier League,31.0,2508,0,0
Tadeo Allende,es La Liga,25.0,2,0,0
Jim Allevinah,fr Ligue 1,29.0,1750,1,3
Dele Alli,it Serie A,28.0,9,0,0
Thiago Almada,fr Ligue 1,23.0,951,1,4
Domingos André Ribeiro Almeida,es La Liga,24.0,1977,0,4
Iker Almena,es La Liga,20.0,48,0,1
Miguel Almirón,eng Premier League,30.0,157,0,0
Pontus Almqvist,it Serie A,25.0,1112,1,1
Marcos Alonso,es La Liga,33.0,2647,3,0
Giorgio Altare,it Serie A,25.0,753,0,0
Adrià Altimira,es La Liga,23.0,1630,0,0
Sergi Altimira,es La Liga,22.0,1972,0,1
Olabade Aluko,eng Premier League,,2,0,0
Edson Álvarez,eng Premier League,26.0,1772,0,1
Hugo Álvarez,es La Liga,21.0,1572,4,3
Julián Álvarez,es La Liga,24.0,2509,17,4
Yeray Álvarez,es La Liga,29.0,1781,1,0
Skelly Alvero,de Bundesliga,22.0,236,0,0
Will Alves,eng Premier League,19.0,1,0,0
Selim Amallah,es La Liga,27.0,1376,3,1
Harry Amass,eng Premier League,17.0,346,0,0
Amath,es La Liga,28.0,375,0,1
