Player,Comp,Age,Min,Gls,Ast,dribbles_successful,key_passes,duels_won,duels_total
Max Aarons,eng Premier League,24.0,86,0,0,0,0,0,1
Max Aarons,es La Liga,24.0,120,0,0,0,0,0,1
Rodrigo Abajas,es La Liga,21.0,65,0,0,0,0,0,1
James Abankwah,it Serie A,20.0,88,0,0,0,0,0,1
Keyliane Abdallah,fr Ligue 1,18.0,3,0,0,0,0,0,1
Yunis Abdelhamid,fr Ligue 1,36.0,1033,0,0,0,0,0,1
Himad Abdelli,fr Ligue 1,24.0,2842,6,1,0,0,0,1
Mohamed Abdelmoneim,fr Ligue 1,25.0,855,0,0,0,0,0,1
Ali Abdi,fr Ligue 1,30.0,1393,5,2,0,0,0,1
Saud Abdulhamid,it Serie A,25.0,205,0,1,0,0,0,1
Abel,es La Liga,23.0,2074,2,0,0,0,0,1
Nabil Aberdin,es La Liga,21.0,263,0,0,0,0,0,1
Oliver Abildgaard,it Serie A,28.0,7,0,0,0,0,0,1
Matthis Abline,fr Ligue 1,21.0,2768,9,2,0,0,0,1
Abner,fr Ligue 1,24.0,1090,1,1,0,0,0,1
Zakaria Aboukhlal,fr Ligue 1,24.0,1901,7,2,0,0,0,1
Abdel Abqar,es La Liga,25.0,2463,0,1,0,0,0,1
Tammy Abraham,it Serie A,26.0,1,0,0,0,0,0,1
Tammy Abraham,it Serie A,26.0,1183,3,4,0,0,0,1
Federico Accornero,it Serie A,20.0,5,0,0,0,0,0,1
Francesco Acerbi,it Serie A,36.0,1710,0,1,0,0,0,1
Joshua Acheampong,eng Premier League,18.0,170,0,0,0,0,0,1
Akor Adams,es La Liga,24.0,134,0,0,0,0,0,1
Akor Adams,fr Ligue 1,24.0,1075,3,1,0,0,0,1
Che Adams,it Serie A,28.0,2652,9,3,0,0,0,1
Tyler Adams,eng Premier League,25.0,1965,0,3,0,0,0,1
Junior Adamu,de Bundesliga,23.0,1545,2,2,0,0,0,1
Tosin Adarabioyo,eng Premier League,26.0,1409,1,1,0,0,0,1
Martin Adeline,fr Ligue 1,20.0,26,0,0,0,0,0,1
Karim Adeyemi,de Bundesliga,22.0,1433,7,6,0,0,0,1
Simon Adingra,eng Premier League,22.0,1097,2,2,0,0,0,1
Amine Adli,de Bundesliga,24.0,766,2,0,0,0,0,1
Yacine Adli,it Serie A,24.0,1219,4,6,0,0,0,1
Adrián,es La Liga,37.0,1710,0,0,0,0,0,1
Adryelson,fr Ligue 1,26.0,1,0,0,0,0,0,1
Vasilije Adžić,it Serie A,18.0,42,0,0,0,0,0,1
Michel Aebischer,it Serie A,27.0,724,0,0,0,0,0,1
Oladapo Afolayan,de Bundesliga,26.0,1639,3,1,0,0,0,1
Emmanuel Agbadou,eng Premier League,27.0,1410,1,0,0,0,0,1
Emmanuel Agbadou,fr Ligue 1,27.0,1260,0,0,0,0,0,1
Asher Agbinone,eng Premier League,18.0,6,0,0,0,0,0,1
Jeremy Agbonifo,fr Ligue 1,18.0,300,1,0,0,0,0,1
Julen Agirrezabala,es La Liga,23.0,1206,0,0,0,0,0,1
Lucien Agoume,es La Liga,22.0,2114,1,3,0,0,0,1
Felix Agu,de Bundesliga,24.0,1751,3,0,0,0,0,1
Álvaro Aguado,es La Liga,28.0,443,0,1,0,0,0,1
Lorenzo Aguado,es La Liga,21.0,5,0,0,0,0,0,1
Nayef Aguerd,es La Liga,28.0,1760,0,0,0,0,0,1
Ruben Aguilar,fr Ligue 1,31.0,1124,1,2,0,0,0,1
Naouirou Ahamada,fr Ligue 1,22.0,58,0,0,0,0,0,1
Honest Ahanor,it Serie A,16.0,270,0,0,0,0,0,1
Erik Ahlstrand,de Bundesliga,22.0,43,0,0,0,0,0,1
Jean-Eudes Aholou,fr Ligue 1,30.0,1959,2,0,0,0,0,1
Joseph Aidoo,es La Liga,28.0,583,0,0,0,0,0,1
Joseph Aidoo,es La Liga,28.0,2,0,0,0,0,0,1
Ayman Aiki,fr Ligue 1,19.0,127,0,0,0,0,0,1
Ola Aina,eng Premier League,27.0,2995,2,1,0,0,0,1
Rayan Aït-Nouri,eng Premier League,23.0,3109,4,7,0,0,0,1
Junior Ajayi,it Serie A,19.0,13,0,0,0,0,0,1
Kristoffer Ajer,eng Premier League,26.0,1438,0,0,0,0,0,1
Ludovic Ajorque,fr Ligue 1,30.0,2495,13,2,0,0,0,1
Manuel Akanji,eng Premier League,29.0,2014,0,0,0,0,0,1
Ümit Akdag,fr Ligue 1,20.0,500,0,0,0,0,0,1
Nathan Aké,eng Premier League,29.0,678,0,0,0,0,0,1
